Country,InorOut,Develop,1960,1970,1980,1990,2000
Thailand,Moveout,Developing,178042,167032,134136,289854,547693
Togo,Moveout,Developing,207460,183675,203520,167177,239625
Tonga,Moveout,Developing,2169,3011,17022,28070,44647
Trinidad and Tobago,Moveout,Developing,61836,52970,111590,208389,306419
Tunisia,Moveout,Developing,231560,346590,509243,564036,564676
Turkey,Moveout,Developed,286011,720120,2391157,2507222,2999776
Turkmenistan,Moveout,Developing,214109,113728,139155,323601,337367
Turks and Caicos Islands,Moveout,Developing,4789,5389,4037,3650,4803
Tuvalu,Moveout,Developing,105,224,1778,1763,3435
Uganda,Moveout,Developing,87336,117041,176772,202555,532353
Ukraine,Moveout,Developing,6267612,6362198,6367708,7178283,5915229
United Arab Emirates,Moveout,Developing,2418,11833,17490,33719,40710
United Kingdom,Moveout,Developed,3486679,3818702,4098768,4189822,4023012
United States,Moveout,Developed,945809,1292617,1604796,1735050,2104552
Uruguay,Moveout,Developing,78133,110529,180474,223127,235446
Uzbekistan,Moveout,Developing,193236,578845,729940,1148275,1664628
Vanuatu,Moveout,Developing,1050,1999,3688,4727,6398
"Venezuela, RB",Moveout,Developing,55213,97109,157329,215849,331589
Vietnam,Moveout,Developing,271176,251007,554042,1077891,1721277
Virgin Islands (U.S.),Moveout,Developing,151038,56362,52688,21270,90654
"Virgin Islands, British",Moveout,Developing,6018,2434,5374,7330,6201
"Yemen, Rep.",Moveout,Developing,81638,271723,268625,513470,602004
Zambia,Moveout,Developing,109719,133900,140822,175015,164001
Zimbabwe,Moveout,Developing,160972,179861,220662,304076,368616
Afghanistan,Movein,Developing,46437,53016,58992,57581,75879
Albania,Movein,Developing,48810,53949,59624,65892,74339
Algeria,Movein,Developing,429351,168254,132645,104566,82430
American Samoa,Movein,Developing,2362,7213,13550,21049,24540
Angola,Movein,Developing,111506,44430,17692,19427,30606
Antigua and Barbuda,Movein,Developing,4514,6419,8397,11019,15084
Argentina,Movein,Developing,2583704,2171974,1882873,1629607,1531275
Armenia,Movein,Developing,223852,373563,396411,267123,290982
Aruba,Movein,Developing,7673,7255,6861,11363,25895
Australia,Movein,Developed,1683267,2430477,2850609,3515828,3954414
Austria,Movein,Developed,785605,563248,719251,666413,808598
Azerbaijan,Movein,Developing,375825,417006,389861,398220,261257
"Bahamas, The",Movein,Developing,11205,30855,24038,26820,29820
Bahrain,Movein,Developing,26625,37877,95232,160775,221053
Bangladesh,Movein,Developing,661309,726891,804420,881426,965801
Barbados,Movein,Developing,9456,13240,18605,21292,24396
Belarus,Movein,Developing,1066892,1128924,1296667,1631177,1139891
Belgium,Movein,Developed,438621,687204,883685,875154,863979
Belize,Movein,Developing,7605,10173,11835,0,33672
Benin,Movein,Developing,33992,44164,57391,75511,129696
Bermuda,Movein,Developed,8717,14207,14128,15641,17591
Bhutan,Movein,Developing,9670,13058,17627,23804,32135
Bolivia,Movein,Developing,42002,51206,57866,59158,88230
Bosnia and Herzegovina,Movein,Developing,6251,6356,11412,55758,43906
Botswana,Movein,Developing,7118,6352,2717,26043,52020
Brazil,Movein,Developing,1389388,1186781,1082363,785480,674513
Brunei Darussalam,Movein,Developing,20548,32885,50950,73196,104127
Bulgaria,Movein,Developing,19817,20683,21185,21007,97702
Burkina Faso,Movein,Developing,62931,89306,170464,344346,572106
Burundi,Movein,Developing,100893,80916,64897,48860,39188
Cambodia,Movein,Developing,381202,321266,4157,38346,236575
Cameroon,Movein,Developing,175008,196900,156787,197617,166376
Canada,Movein,Developed,2743469,3183836,3696069,4440436,5405881
Cape Verde,Movein,Developing,6567,7262,8035,8889,10333
Cayman Islands,Movein,Developing,942,1571,5705,12685,23657
Central African Republic,Movein,Developing,35612,19634,42408,44195,13815
Chad,Movein,Developing,54745,60508,66869,73910,83749
Channel Islands,Movein,Developing,0,0,0,0,0
Chile,Movein,Developing,103127,82952,79389,106379,175210
China,Movein,Developing,245588,280366,54553,90449,213470
Colombia,Movein,Developing,57734,78004,88279,103387,107905
Comoros,Movein,Developing,1474,3554,14427,12991,12722
"Congo, Rep.",Movein,Developing,16784,28244,31123,51660,9521
Costa Rica,Movein,Developing,32537,25414,53149,138962,295477
Cote d'Ivoire,Movein,Developing,766921,1185682,1520520,1679957,2206725
Croatia,Movein,Developing,62586,63610,113910,382865,534041
Cuba,Movein,Developing,143142,129525,63721,30375,16581
Cyprus,Movein,Developing,29507,34111,38590,43410,78341
Czech Republic,Movein,Developing,48502,53607,59251,418914,447297
Denmark,Movein,Developed,93370,117189,163364,234526,369241
Djibouti,Movein,Developing,11491,20957,42217,66216,85022
Dominica,Movein,Developing,2300,1930,1600,1713,2532
Dominican Republic,Movein,Developing,142520,192324,232348,285747,351893
Ecuador,Movein,Developing,23998,44679,69541,77234,99550
"Egypt, Arab Rep.",Movein,Developing,186459,165509,144470,119936,121097
El Salvador,Movein,Developing,33972,32474,29464,26790,31623
Equatorial Guinea,Movein,Developing,19337,10062,5196,2700,4459
Eritrea,Movein,Developing,7630,7931,9754,10782,9104
Estonia,Movein,Developing,185214,268305,328853,405966,252121
Ethiopia,Movein,Developing,387563,368666,387567,407447,428324
Faeroe Islands,Movein,Developing,1488,1971,2621,2879,2123
Fiji,Movein,Developing,19818,16072,13609,13160,15326
Finland,Movein,Developed,31980,32103,38036,63103,131224
France,Movein,Developed,3415715,5186682,5588322,5833361,5770857
French Polynesia,Movein,Developing,3546,8038,17720,25150,29601
Gabon,Movein,Developing,19167,37026,68049,124665,189720
"Gambia, The",Movein,Developing,31506,48186,75190,117590,169789
Georgia,Movein,Developing,343888,344262,323959,349200,219036
Germany,Movein,Developed,4329695,6148109,7989329,8533248,10408743
Ghana,Movein,Developing,536623,351259,64081,121257,178427
Gibraltar,Movein,Developing,6742,8993,9690,8830,8040
Greece,Movein,Developed,51381,88636,169775,408905,727573
Greenland,Movein,Developing,2563,7192,8786,8512,7224
Grenada,Movein,Developing,3861,3054,2430,4184,7814
Guam,Movein,Developing,30924,37568,50958,69093,74033
Guatemala,Movein,Developing,42994,40623,39826,40824,47300
Guinea,Movein,Developing,11253,16807,25086,78579,245423
Guinea-Bissau,Movein,Developing,11625,12225,12852,12345,11864
Guyana,Movein,Developing,13947,12510,6166,4033,7954
Haiti,Movein,Developing,14412,11043,13989,18949,25659
Honduras,Movein,Developing,59923,20565,20133,33155,28256
"Hong Kong SAR, China",Movein,Developing,1627324,1714855,2060477,2208289,2667657
Hungary,Movein,Developing,504602,396193,331424,278749,260798
Iceland,Movein,Developed,3296,4897,5726,9488,15252
India,Movein,Developing,9409858,9121767,8844924,7375729,6234577
Indonesia,Movein,Developing,1858865,1169846,736073,463006,138078
"Iran, Islamic Rep.",Movein,Developing,48300,85889,324973,778389,951108
