Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1970 [YR1970],1980 [YR1980],1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Population, total",SP.POP.TOTL,Israel,ISR,2114020,2974000,3878000,4660000,6289000,7623600
"Population, total",SP.POP.TOTL,Italy,ITA,50199700,53821850,56433883,56719240,56942108,59277417
"Population, total",SP.POP.TOTL,Jamaica,JAM,1629003,1869000,2133000,2390000,2589389,2690824
"Population, total",SP.POP.TOTL,Japan,JPN,92500572,104345000,116782000,123537000,126843000,128070000
"Population, total",SP.POP.TOTL,Jordan,JOR,888632,1654769,2280670,3358453,4767476,6517912
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,9714260,12757245,14518924,16348000,14883626,16321581
"Population, total",SP.POP.TOTL,Kenya,KEN,8105440,11252466,16267906,23446229,31065820,40328313
"Population, total",SP.POP.TOTL,Kiribati,KIR,41234,51181,59340,72411,84406,102648
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,11424179,14410400,17372167,20194354,22840218,24500506
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,25012374,32240827,38123775,42869283,47008111,49410366
"Population, total",SP.POP.TOTL,Kosovo,KSV,947000,1219000,1521000,1862000,1700000,1775680
"Population, total",SP.POP.TOTL,Kuwait,KWT,261962,750184,1384342,2058832,1929470,3059473
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,2172300,2959900,3617400,4391200,4898400,5447900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,2119944,2686025,3252701,4247839,5342879,6260544
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1099608911,1340256276,1597245116,1849669474,2044297095,2182060690
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,220572260,287773317,364281964,446014681,525907201,598690163
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,206448158,270922368,344916769,423990572,501172602,571935098
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,210495731,275635159,350430521,430984322,509938616,582484107
"Population, total",SP.POP.TOTL,Latvia,LVA,2120979,2359164,2511701,2663151,2367550,2097555
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,241072814,308870065,393172012,510057629,664386087,847264134
"Population, total",SP.POP.TOTL,Lebanon,LBN,1804927,2297403,2605294,2703019,3235380,4337156
"Population, total",SP.POP.TOTL,Lesotho,LSO,851412,1032240,1307403,1597534,1856225,2010586
"Population, total",SP.POP.TOTL,Liberia,LBR,1120314,1419728,1892529,2102877,2891968,3957990
"Population, total",SP.POP.TOTL,Libya,LBY,1434576,2114264,3191304,4398419,5337264,6265697
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,16504,21266,25869,28745,33282,36276
"Population, total",SP.POP.TOTL,Lithuania,LTU,2778550,3139689,3413202,3697838,3499536,3097282
"Population, total",SP.POP.TOTL,Low & middle income,LMY,2276339100,2833705952,3504520730,4281091644,5040565572,5769206886
"Population, total",SP.POP.TOTL,Low income,LIC,154643623,195784159,250488773,321732573,423655372,556926383
"Population, total",SP.POP.TOTL,Lower middle income,LMC,946484445,1190833082,1507845249,1905832740,2312488976,2719003012
"Population, total",SP.POP.TOTL,Luxembourg,LUX,313970,339171,364150,381850,436300,506953
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,171456,250997,246236,359735,431907,534626
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1488664,1720798,1924194,1996227,2012051,2062443
"Population, total",SP.POP.TOTL,Madagascar,MDG,5099371,6576301,8746516,11545782,15744811,21079532
"Population, total",SP.POP.TOTL,Malawi,MWI,3618604,4603739,6163225,9408998,11193230,14769824
"Population, total",SP.POP.TOTL,Malaysia,MYS,8160975,10908634,13833739,18211097,23420751,28119500
"Population, total",SP.POP.TOTL,Maldives,MDV,89875,115703,158282,218000,286000,367000
"Population, total",SP.POP.TOTL,Mali,MLI,5263730,5949043,7090125,8482075,11046926,15167286
"Population, total",SP.POP.TOTL,Malta,MLT,326550,302650,316645,354170,381363,414508
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,14665,20397,30581,47300,52161,52428
"Population, total",SP.POP.TOTL,Mauritania,MRT,858170,1148908,1534085,2023665,2711421,3591400
"Population, total",SP.POP.TOTL,Mauritius,MUS,659351,826000,966039,1058775,1186873,1250400
"Population, total",SP.POP.TOTL,Mexico,MEX,38174114,52029859,69330974,85609404,102808590,118617542
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,44539,61433,72967,96331,107430,103619
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,105557277,138863307,185183207,254531443,315122478,385417024
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,97914047,127718364,166936522,226500949,278580533,331928764
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,97914047,127718364,166936522,224522701,275658380,328117662
"Population, total",SP.POP.TOTL,Middle income,MIC,2121695477,2637921793,3254031957,3959359071,4616910200,5212280503
"Population, total",SP.POP.TOTL,Moldova,MDA,2544000,3044000,3396000,3696000,3639592,3562045
"Population, total",SP.POP.TOTL,Monaco,MCO,22454,23484,26746,29438,32081,36845
"Population, total",SP.POP.TOTL,Mongolia,MNG,955514,1278825,1689622,2184145,2397438,2712657
"Population, total",SP.POP.TOTL,Montenegro,MNE,480579,512407,572608,606372,604950,619428
"Population, total",SP.POP.TOTL,Morocco,MAR,12328534,16039600,20071902,24950128,28950553,32107739
"Population, total",SP.POP.TOTL,Mozambique,MOZ,7493278,9262078,11936379,13371971,18264536,24321457
"Population, total",SP.POP.TOTL,Myanmar,MMR,21486424,27166045,34470694,42007309,47669791,51733013
"Population, total",SP.POP.TOTL,Namibia,NAM,602545,780386,1012761,1415447,1897953,2193643
"Population, total",SP.POP.TOTL,Nauru,NRU,4433,6493,7488,9157,10042,10025
"Population, total",SP.POP.TOTL,Nepal,NPL,10056945,11986974,14890080,18741688,23740145,26875910
"Population, total",SP.POP.TOTL,Netherlands,NLD,11486631,13038526,14149800,14951510,15925513,16615394
"Population, total",SP.POP.TOTL,New Caledonia,NCL,79000,112000,140050,170899,213230,250000
"Population, total",SP.POP.TOTL,New Zealand,NZL,2371800,2810700,3112900,3329800,3857700,4350700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,1774696,2398095,3249910,4144564,5026792,5737722
"Population, total",SP.POP.TOTL,Niger,NER,3395212,4497355,5963159,7911884,11224523,16291990
"Population, total",SP.POP.TOTL,Nigeria,NGA,45211614,56131844,73698096,95617345,122876723,159424742
"Population, total",SP.POP.TOTL,North America,NAC,198624409,226431000,251872670,277473326,312993944,343417261
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,10070,13203,17048,43972,68434,53860
"Population, total",SP.POP.TOTL,Norway,NOR,3581239,3875763,4085620,4241473,4490967,4889252
"Population, total",SP.POP.TOTL,OECD members,OED,788769132,892733697,987744287,1069301886,1157260608,1243550244
"Population, total",SP.POP.TOTL,Oman,OMN,551737,723850,1154375,1812159,2239403,2943747
"Population, total",SP.POP.TOTL,Other small states,OSS,9190554,11078167,13628840,17443575,20898841,25965594
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,865811,1152035,1420689,1694417,1963761,2211421
"Population, total",SP.POP.TOTL,Pakistan,PAK,44911810,58094239,78071984,107607639,138250487,170043918
"Population, total",SP.POP.TOTL,Palau,PLW,9638,11481,12197,15089,19174,20470
"Population, total",SP.POP.TOTL,Panama,PAN,1132924,1519293,1978575,2471010,3028751,3620506
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,1966957,2434755,3215483,4157903,5374051,6847517
"Population, total",SP.POP.TOTL,Paraguay,PRY,1902871,2474102,3180628,4213740,5302703,6209877
"Population, total",SP.POP.TOTL,Peru,PER,10061519,13341071,17359118,21826658,25914875,29373644
"Population, total",SP.POP.TOTL,Philippines,PHL,26273023,35804731,47396966,61947340,77932247,93038902
"Population, total",SP.POP.TOTL,Poland,POL,29637450,32664300,35574150,38110782,38258629,38042794
"Population, total",SP.POP.TOTL,Portugal,PRT,8857716,8680431,9766312,9983218,10289898,10573100
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,754697140,840831632,910028235,964659603,1020294075,1075073808
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,188373482,240714208,318378349,415481032,552445596,735769429
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,2358000,2718000,3206000,3537000,3810605,3721526
"Population, total",SP.POP.TOTL,Qatar,QAT,47309,109329,223715,476478,593453,1765513
"Population, total",SP.POP.TOTL,Romania,ROM,18406905,20250398,22242653,23201835,22442971,20246871
"Population, total",SP.POP.TOTL,Russian Federation,RUS,119897000,130404000,139010000,148292000,146596557,142849449
"Population, total",SP.POP.TOTL,Rwanda,RWA,2933424,3754546,5140786,7259740,8021875,10293669
"Population, total",SP.POP.TOTL,Samoa,WSM,108645,143175,155554,162865,174614,186029
"Population, total",SP.POP.TOTL,San Marino,SMR,15393,19136,21363,24045,27420,30690
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,64255,74251,94953,113575,137164,170880
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,4086539,5836394,9912917,16361453,21392273,28090647
"Population, total",SP.POP.TOTL,Senegal,SEN,3177560,4217754,5568651,7514201,9860578,12956791
"Population, total",SP.POP.TOTL,Serbia,SRB,..,..,..,7586000,7516346,7291436
"Population, total",SP.POP.TOTL,Seychelles,SYC,41700,53600,64400,70000,81131,89770
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,2181701,2514151,3086406,3931208,4060709,5775902
"Population, total",SP.POP.TOTL,Singapore,SGP,1646400,2074500,2413945,3047132,4027887,5076732
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,..,..,..,30519,35474
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,4068095,4538223,4979815,5299187,5388720,5391428
"Population, total",SP.POP.TOTL,Slovenia,SVN,1584720,1724891,1901315,1998161,1988925,2048583
"Population, total",SP.POP.TOTL,Small states,SST,14247175,17112785,20520549,25098360,29317318,35031584
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,117869,160292,230614,311849,412336,526177
"Population, total",SP.POP.TOTL,Somalia,SOM,2756380,3445420,6089707,6321615,7385416,9581714
"Population, total",SP.POP.TOTL,South Africa,ZAF,17396000,22087000,27576000,35200000,44000000,50771826
"Population, total",SP.POP.TOTL,South Asia,SAS,572036107,713115397,900085240,1132833314,1385959570,1628688562
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,572036107,713115397,900085240,1132833314,1385959570,1628688562
"Population, total",SP.POP.TOTL,South Sudan,SSD,2955044,3647097,4701360,5762190,6692999,10056475
"Population, total",SP.POP.TOTL,Spain,ESP,30455000,33814531,37439035,38850435,40263216,46576897
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,9896000,12514000,14747000,17078000,18655000,20118000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,51197,44882,43205,40833,45544,52352
"Population, total",SP.POP.TOTL,St. Lucia,LCA,89901,104162,117984,138180,156949,177397
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,4279,5450,7580,30036,28384,30235
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,80948,90457,100506,107509,107897,109316
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,228268752,291897883,383043891,508616039,667742098,873780170
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,228227052,291844283,382979491,508546039,667660967,873690400
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,228268752,291897883,383043891,508616039,667742098,873780170
"Population, total",SP.POP.TOTL,Sudan,SDN,7527450,10232758,14418063,20008804,28079664,36114885
"Population, total",SP.POP.TOTL,Suriname,SUR,289972,371268,362777,408276,480751,518141
"Population, total",SP.POP.TOTL,Swaziland,SWZ,349233,445844,603373,862728,1063715,1193148
"Population, total",SP.POP.TOTL,Sweden,SWE,7484656,8042801,8310531,8558835,8872109,9378126
"Population, total",SP.POP.TOTL,Switzerland,CHE,5327827,6180877,6319408,6715519,7184250,7824909
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,4592777,6378802,8956156,12451539,16354050,20720602
"Population, total",SP.POP.TOTL,Tajikistan,TJK,2064035,2919586,3917642,5297286,6186152,7581696
"Population, total",SP.POP.TOTL,Tanzania,TZA,10074490,13605504,18684893,25458208,33991590,45648525
"Population, total",SP.POP.TOTL,Thailand,THA,27397178,36884914,47385325,56582824,62693322,66692024
"Population, total",SP.POP.TOTL,Timor-Leste,TMP,499525,602737,577580,740231,847185,1066409
"Population, total",SP.POP.TOTL,Togo,TGO,1580513,2115521,2720838,3786942,4874735,6390851
"Population, total",SP.POP.TOTL,Tonga,TON,61600,84370,93007,95152,97898,103947
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,848481,945996,1085308,1221904,1267980,1328095
"Population, total",SP.POP.TOTL,Tunisia,TUN,4220701,5127000,6384000,8154400,9552500,10547100
